Rank,Anime_name,Anime_link,Ratings
141,Fruits Basket: Prelude,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude,8.46
142,Golden Kamuy 3rd Season,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season,8.45
143,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,8.45
144,Zoku Owarimonogatari,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari,8.45
145,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,8.45
146,Mo Dao Zu Shi,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi,8.45
147,Owarimonogatari,https://myanimelist.net/anime/31181/Owarimonogatari,8.45
148,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,8.45
149,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,8.45
150,Mushishi Zoku Shou: Odoro no Michi,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi,8.44
151,Saenai Heroine no Sodatekata Fine,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine,8.44
152,The First Slam Dunk,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,8.44
153,Tian Guan Ci Fu Special,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special,8.44
154,Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu,8.44
155,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season,8.44
156,Karakai Jouzu no Takagi-san 3,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3,8.44
157,Gintama: Yorinuki Gintama-san on Theater 2D,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D,8.43
158,Grand Blue,https://myanimelist.net/anime/37105/Grand_Blue,8.43
159,Kono Oto Tomare! Part 2,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2,8.43
160,Mo Dao Zu Shi: Xian Yun Pian,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian,8.43
161,Mononoke,https://myanimelist.net/anime/2246/Mononoke,8.43
162,Saiki Kusuo no Ψ-nan 2,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2,8.43
163,Koukaku Kidoutai: Stand Alone Complex,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex,8.42
164,Saiki Kusuo no Ψ-nan,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan,8.42
165,Josee to Tora to Sakana-tachi,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi,8.42
166,Vivy: Fluorite Eye's Song,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,8.42
167,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou,8.41
168,Wu Liuqi: Xuanwu Guo Pian,https://myanimelist.net/anime/45556/Wu_Liuqi__Xuanwu_Guo_Pian,8.41
169,Major S5,https://myanimelist.net/anime/5028/Major_S5,8.41
170,Natsume Yuujinchou Movie: Utsusemi ni Musubu,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu,8.41
171,Shingeki no Kyojin: Kuinaki Sentaku,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku,8.41
172,Hunter x Hunter,https://myanimelist.net/anime/136/Hunter_x_Hunter,8.41
173,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,8.41
174,Gintama°: Aizome Kaori-hen,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen,8.40
175,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),https://myanimelist.net/anime/5205/Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go,8.40
176,Natsume Yuujinchou Roku Specials,https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials,8.40
177,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou,8.40
178,Tensei shitara Slime Datta Ken 2nd Season,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season,8.39
179,Tian Guan Ci Fu,https://myanimelist.net/anime/40730/Tian_Guan_Ci_Fu,8.39
180,3-gatsu no Lion,https://myanimelist.net/anime/31646/3-gatsu_no_Lion,8.39
181,Chihayafuru 2,https://myanimelist.net/anime/14397/Chihayafuru_2,8.39
182,Cross Game,https://myanimelist.net/anime/5941/Cross_Game,8.39
183,Houseki no Kuni,https://myanimelist.net/anime/35557/Houseki_no_Kuni,8.39
184,Kamisama Hajimemashita: Kako-hen,https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen,8.39
185,Kaze ga Tsuyoku Fuiteiru,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru,8.39
186,Barakamon,https://myanimelist.net/anime/22789/Barakamon,8.38
187,Cowboy Bebop: Tengoku no Tobira,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,8.38
188,Kimetsu no Yaiba: Mugen Ressha-hen,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen,8.38
189,Non Non Biyori Nonstop,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop,8.38
190,Kizumonogatari I: Tekketsu-hen,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen,8.37
191,Made in Abyss Movie 2: Hourou Suru Tasogare,https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare,8.37
192,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari,8.37
193,Mushoku Tensei: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,8.37
194,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,8.37
195,Baccano!,https://myanimelist.net/anime/2251/Baccano,8.37
196,Fumetsu no Anata e,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,8.37
197,Haikyuu!! To the Top,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top,8.36
198,Kage no Jitsuryokusha ni Naritakute!,https://myanimelist.net/anime/48316/Kage_no_Jitsuryokusha_ni_Naritakute,8.36
199,Kaze no Tani no Nausicaä,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä,8.36
200,Mahou Shoujo Madoka★Magica,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica,8.36
